snapshot,done,rate,baseline,dp_out,rel_err
1,400,9.395674386217706,0.0,50.5838545615147,50583854561.514694
2,800,9.071788811951295,0.0,70.66778642553966,70667786425.53966
3,1200,9.222447945630933,0.0,217.24068466189908,217240684661.89908
4,1600,9.248658767424066,0.0,73.13170408292905,73131704082.92905
5,2000,9.320419368295186,0.0,179.5812668947519,179581266894.7519
