snapshot,done,rate,baseline,dp_out,rel_err
1,1000,35.228983386059866,164888.7103859723,176963.00144619565,0.07322691184835985
2,2000,34.99738715128599,165308.401634212,170872.5578303633,0.03365924624002751
3,3000,34.78719953369179,165729.1091136467,175838.27168801762,0.06099811088369926
4,4000,34.941004039494196,166156.86888504148,178519.62454781355,0.07440412030949779
5,5000,34.69658552735499,166562.3831503974,182320.62068395154,0.09460862191990405
6,6000,34.23472105147837,166978.78173358997,189659.24885301266,0.13582843810424214
7,7000,33.80669403499294,167397.95300097667,192634.78179992698,0.15075948269691838
8,8000,33.34964460539217,167830.50248244268,174910.92482766337,0.04218793509220054
9,9000,32.678528118951206,168253.48612554048,177725.69289884996,0.05629723931093999
10,10000,32.157277699566826,168675.4209957608,187424.15135172367,0.11115271119693294
